run_id,workflow_name,status,conclusion,created_at,updated_at,wall_clock_seconds,wall_clock_minutes,exec_seconds,exec_minutes,queue_seconds,queue_minutes,first_job_started,last_job_completed,head_branch,event,pr_number,label_group,base_branch
22574913044,PE-CI,completed,cancelled,2026-03-02T11:56:13Z,2026-03-02T11:56:21Z,8,0.1,6,0.1,1,0.0,2026-03-02T11:56:14Z,2026-03-02T11:56:20Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
23189684075,PE-CI,completed,failure,2026-03-17T10:26:52Z,2026-03-17T11:26:52Z,3600,60.0,3594,59.9,6,0.1,2026-03-17T10:26:58Z,2026-03-17T11:26:52Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
23495734155,PE-CI,completed,cancelled,2026-03-24T14:48:33Z,2026-03-24T14:50:38Z,125,2.1,120,2.0,4,0.1,2026-03-24T14:48:37Z,2026-03-24T14:50:37Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest,develop
22947310682,PE-CI,completed,success,2026-03-11T10:08:23Z,2026-03-11T14:28:57Z,15634,260.6,15607,260.1,26,0.4,2026-03-11T10:08:49Z,2026-03-11T14:28:56Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
22842664987,PE-CI,completed,failure,2026-03-09T07:20:56Z,2026-03-09T08:50:21Z,5365,89.4,5361,89.3,3,0.1,2026-03-09T07:20:59Z,2026-03-09T08:50:20Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
23184771387,PE-CI,completed,success,2026-03-17T08:16:17Z,2026-03-19T02:23:45Z,151648,2527.5,151643,2527.4,4,0.1,2026-03-17T08:16:21Z,2026-03-19T02:23:44Z,t-darkside-develop-XE-19114-system-log-performance,pull_request,5990,mz-autotest+pe-autotest,develop
22568538449,PE-CI,completed,failure,2026-03-02T08:55:58Z,2026-03-02T09:19:54Z,1436,23.9,1432,23.9,4,0.1,2026-03-02T08:56:02Z,2026-03-02T09:19:54Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
23048137542,PE-CI,completed,cancelled,2026-03-13T11:09:20Z,2026-03-13T11:54:23Z,2703,45.0,2679,44.6,23,0.4,2026-03-13T11:09:43Z,2026-03-13T11:54:22Z,copilot/implement-unit-test-improvements,pull_request,6107,mz-autotest+pe-autotest,develop
23160514916,PE-CI,completed,failure,2026-03-16T18:50:25Z,2026-03-16T18:51:24Z,59,1.0,54,0.9,4,0.1,2026-03-16T18:50:29Z,2026-03-16T18:51:23Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
22995987835,PE-CI,completed,cancelled,2026-03-12T09:49:20Z,2026-03-12T09:49:21Z,1,0.0,0,0.0,0,0.0,,,copilot/implement-unit-test-improvements,pull_request,6107,mz-autotest+pe-autotest,develop
22575829475,PE-CI,completed,failure,2026-03-02T12:23:01Z,2026-03-02T12:26:17Z,196,3.3,191,3.2,4,0.1,2026-03-02T12:23:05Z,2026-03-02T12:26:16Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
23295712944,PE-CI,completed,cancelled,2026-03-19T12:51:24Z,2026-03-19T12:51:26Z,2,0.0,0,0.0,0,0.0,,,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
22578630174,PE-CI,completed,failure,2026-03-02T13:42:39Z,2026-03-02T14:06:54Z,1455,24.2,1450,24.2,4,0.1,2026-03-02T13:42:43Z,2026-03-02T14:06:53Z,copilot/update-copilot-instructions,pull_request,5736,mz-autotest+pe-autotest,develop
23142680897,PE-CI,completed,action_required,2026-03-16T12:03:09Z,2026-03-16T12:03:09Z,0,0.0,0,0.0,0,0.0,,,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
22764429004,PE-CI,completed,cancelled,2026-03-06T12:57:48Z,2026-03-06T13:05:09Z,441,7.3,437,7.3,3,0.1,2026-03-06T12:57:51Z,2026-03-06T13:05:08Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
22908743438,PE-CI,completed,success,2026-03-10T14:55:32Z,2026-03-10T17:05:09Z,7777,129.6,7771,129.5,5,0.1,2026-03-10T14:55:37Z,2026-03-10T17:05:08Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
23335945300,PE-CI,completed,success,2026-03-20T09:01:43Z,2026-03-20T11:07:52Z,7569,126.2,7566,126.1,3,0.1,2026-03-20T09:01:46Z,2026-03-20T11:07:52Z,feat/gradle931,pull_request,6127,mz-autotest+pe-autotest,develop
23147234881,PE-CI,completed,skipped,2026-03-16T13:54:04Z,2026-03-16T13:58:54Z,290,4.8,0,0.0,290,4.8,2026-03-16T13:58:54Z,2026-03-16T13:58:53Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
23147960034,PE-CI,completed,action_required,2026-03-16T14:09:55Z,2026-03-16T14:09:55Z,0,0.0,0,0.0,0,0.0,,,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
23652932882,PE-CI,completed,failure,2026-03-27T15:05:37Z,2026-03-27T15:23:24Z,1067,17.8,1062,17.7,4,0.1,2026-03-27T15:05:41Z,2026-03-27T15:23:23Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest,develop
23337561424,PE-CI,completed,skipped,2026-03-20T09:50:37Z,2026-03-20T09:50:38Z,1,0.0,0,0.0,1,0.0,2026-03-20T09:50:38Z,2026-03-20T09:50:38Z,copilot/add-retry-analyzer-for-tests,pull_request,6124,mz-autotest+pe-autotest,develop
22759415892,PE-CI,completed,success,2026-03-06T10:26:45Z,2026-03-06T12:30:15Z,7410,123.5,7406,123.4,3,0.1,2026-03-06T10:26:48Z,2026-03-06T12:30:14Z,copilot/update-openapi-generator-version,pull_request,6056,mz-autotest+pe-autotest,develop
23651772675,PE-CI,completed,failure,2026-03-27T14:40:53Z,2026-03-27T15:02:20Z,1287,21.4,1282,21.4,4,0.1,2026-03-27T14:40:57Z,2026-03-27T15:02:19Z,feature/t-babelfish-mz94-dev-XE-22629-enable-changing-version,pull_request,6135,mz-autotest+pe-autotest,develop
